3; ./256ED ./ED256/ps2/ 1 0.00382 0.01564 0.02205 0.00214 0.02848 0.02672 0.41832 0.03961 0.44321
Graph Evolution Tool.
Initial Graph: Ring with m = 2
Fitness Function: Epidemic Length
Representation: THADS-N with Operation Densities
Densities: 0.00382 0.01564 0.02205 0.00214 0.02848 0.02672 0.41832 0.03961 0.44321 
Check readme.dat for more information about parameters/output.

Beginning Run 0 of 29
Run  RI  Mean      95% CI      SD        Best    
2    21  81.2938   0.837782    13.5101   111     
2    22  80.8202   0.882408    14.2297   111     
2    23  81.422    0.865336    13.9544   111     
2    24  81.7106   0.875109    14.112    111     
2    25  81.7482   0.870475    14.0373   111     
2    26  81.5688   0.878673    14.1695   111     
2    27  81.5272   0.884364    14.2612   111     
2    28  81.98     0.877814    14.1556   111     
2    29  81.7072   0.881673    14.2179   111     
2    30  82.0542   0.885282    14.2761   111     
2    31  81.7226   0.891097    14.3698   111     
2    32  82.3928   0.866955    13.9805   111     
2    33  82.5856   0.873742    14.09     111     
2    34  82.211    0.881704    14.2184   111     
2    35  82.0748   0.910793    14.6874   111     
2    36  82.2898   0.900105    14.5151   112     
2    37  82.7126   0.890998    14.3682   112     
2    38  82.9404   0.910889    14.689    112     
2    39  82.8424   0.90508     14.5953   112     
2    40  82.7352   0.914154    14.7416   112     
2    41  82.9776   0.910792    14.6874   112     
2    42  81.9666   0.927696    14.96     112     
2    43  82.1566   0.909404    14.6651   112     
2    44  82.5254   0.898845    14.4948   112     
2    45  82.262    0.919125    14.8218   112     
2    46  83.2336   0.902089    14.5471   112     
2    47  82.4674   0.91488     14.7534   112     
2    48  83.0362   0.894086    14.418    112     
2    49  83.5128   0.911803    14.7037   112     
2    50  83.3486   0.934628    15.0718   112     
2    51  83.5438   0.92655     14.9415   112.4   
2    52  83.4324   0.923536    14.8929   112.4   
2    53  83.0378   0.946103    15.2569   112.4   
2    54  82.7138   0.940055    15.1593   112.4   
2    55  83.3104   0.931873    15.0274   112.4   
2    56  84.185    0.904569    14.5871   112.4   
2    57  83.5102   0.91986     14.8337   112.4   
2    58  83.4448   0.927952    14.9642   112.4   
2    59  83.7386   0.935063    15.0788   112.4   
2    60  84.262    0.914121    14.7411   112.4   
2    61  83.816    0.954638    15.3945   112.4   
2    62  83.6014   0.964029    15.5459   114     
2    63  83.956    0.948401    15.2939   114     
2    64  83.4714   0.960157    15.4835   114     
2    65  83.568    0.965118    15.5635   114     
2    66  84.5016   0.9426      15.2004   114     
2    67  84.0664   0.944504    15.2311   114     
2    68  84.0208   0.950152    15.3221   114     
2    69  83.8314   0.954713    15.3957   114     
2    70  83.7938   0.962584    15.5226   114     
2    71  84.0194   0.969161    15.6287   114     
2    72  84.2176   0.947193    15.2744   114     
2    73  84.1176   0.953289    15.3727   114     
2    74  83.8826   0.959538    15.4735   114     
2    75  84.1532   0.936479    15.1017   114     
2    76  84.3824   0.951381    15.342    114     
2    77  84.8462   0.930325    15.0024   114     
2    78  84.1872   0.966967    15.5933   114     
2    79  84.209    0.957581    15.442    114.2   
2    80  84.21     0.966863    15.5916   114.2   
2    81  84.1234   0.961095    15.4986   114.2   
2    82  84.7764   0.962373    15.5192   114.2   
2    83  85.6286   0.924952    14.9158   114.2   
2    84  84.4554   0.973846    15.7042   114.2   
2    85  84.7006   0.961935    15.5122   114.2   
2    86  84.9022   0.952277    15.3564   114.2   
2    87  84.8372   0.947111    15.2731   114.4   
2    88  85.0402   0.970092    15.6437   114.4   
2    89  84.83     0.958693    15.4599   114.4   
2    90  84.7924   0.95469     15.3953   114.4   
2    91  84.9178   0.972897    15.6889   114.4   
2    92  84.2798   0.996331    16.0668   114.4   
2    93  84.8852   0.964584    15.5549   115     
2    94  84.7464   0.966236    15.5815   115     
2    95  85.1974   0.954766    15.3966   115     
2    96  84.8662   0.973543    15.6994   115     
2    97  85.4564   0.964747    15.5575   115     
2    98  85.2524   0.977424    15.7619   115     
2    99  85.429    0.980338    15.8089   115     
2    100 85.4998   0.971855    15.6721   115     
Done run 2 of 29

Beginning Run 3 of 29
Run  RI  Mean      95% CI      SD        Best    
3    0   20.4094   0.195593    3.15413   40.4    
3    1   46.9428   0.48042     7.74725   74.4    
3    2   70.1014   0.582712    9.39682   97      
3    3   76.7926   0.655206    10.5658   110.4   
3    4   78.3208   0.736582    11.8781   110.8   
3    5   79.8194   0.76957     12.4101   110.8   
3    6   80.4504   0.780525    12.5867   110.8   
3    7   80.7998   0.820621    13.2333   110.8   
3    8   80.7724   0.840559    13.5549   110.8   
3    9   81.402    0.837887    13.5118   110.8   
3    10  81.8424   0.855882    13.802    112     
3    11  81.4446   0.878088    14.16     112     
3    12  82.2874   0.865221    13.9526   112     
3    13  82.3358   0.87873     14.1704   112     
3    14  83.02     0.851315    13.7283   112     
3    15  82.353    0.901996    14.5456   112     
3    16  82.717    0.903359    14.5676   116.6   
3    17  82.6866   0.893428    14.4074   116.6   
3    18  83.1534   0.901998    14.5456   116.6   
3    19  82.9394   0.908313    14.6475   116.6   
3    20  83.0542   0.925166    14.9192   116.6   
3    21  83.4044   0.911867    14.7048   116.6   
3    22  83.7788   0.887249    14.3078   116.6   
3    23  83.649    0.88645     14.2949   116.6   
3    24  83.4254   0.919872    14.8339   116.6   
3    25  83.8094   0.912713    14.7184   116.6   
3    26  83.6636   0.922313    14.8732   116.6   
3    27  83.6228   0.932203    15.0327   116.6   
3    28  83.705    0.922573    14.8774   116.6   
3    29  83.5706   0.907709    14.6377   116.6   
3    30  83.788    0.920979    14.8517   116.6   
3    31  84.3264   0.916351    14.7771   116.6   
3    32  84.2648   0.912243    14.7108   116.6   
3    33  83.7086   0.926806    14.9457   117.2   
3    34  84.4994   0.913581    14.7324   117.2   
3    35  84.6118   0.928306    14.9699   117.2   
3    36  84.4058   0.940907    15.1731   117.2   
3    37  84.5284   0.945788    15.2518   117.2   
3    38  84.147    0.967088    15.5953   117.2   
3    39  84.0792   0.985807    15.8971   117.2   
3    40  84.3822   0.967484    15.6017   117.2   
3    41  84.494    0.966127    15.5798   117.2   
3    42  84.7776   0.945717    15.2506   117.2   
3    43  84.593    0.963009    15.5295   117.2   
3    44  84.816    0.953035    15.3687   117.2   
3    45  84.8284   0.94603     15.2557   117.2   
3    46  84.9552   0.944555    15.2319   117.2   
3    47  84.6452   0.952117    15.3538   117.2   
3    48  84.705    0.968577    15.6193   117.2   
3    49  84.9078   0.954097    15.3858   117.2   
3    50  84.6772   0.965107    15.5633   117.2   
3    51  85.009    0.960117    15.4829   117.2   
3    52  84.5438   0.979635    15.7976   117.2   
3    53  84.7798   0.988796    15.9453   117.2   
3    54  84.7348   0.980323    15.8087   117.2   
3    55  84.8544   0.990489    15.9726   117.2   
3    56  85.037    0.959866    15.4788   117.2   
3    57  85.2026   0.955301    15.4052   117.2   
3    58  85.2796   0.972873    15.6886   117.2   
3    59  85.5712   0.965349    15.5672   117.2   
3    60  84.737    0.975746    15.7349   117.2   
3    61  85.0504   0.977108    15.7568   117.2   
3    62  84.9862   0.982624    15.8458   117.2   
3    63  85.0378   0.971419    15.6651   117.2   
3    64  85.3102   0.973552    15.6995   117.2   
3    65  84.9938   0.993171    16.0159   117.2   
3    66  84.7176   0.987742    15.9283   117.8   
3    67  85.5408   0.969852    15.6398   120.8   
3    68  85.2914   0.986454    15.9076   120.8   
3    69  85.3686   0.971777    15.6709   120.8   
3    70  84.9426   0.999535    16.1185   120.8   
3    71  84.8696   0.996048    16.0623   120.8   
3    72  85.6424   0.963707    15.5407   120.8   
3    73  85.2976   0.989153    15.9511   120.8   
3    74  84.901    0.998267    16.0981   120.8   
3    75  85.4276   0.980023    15.8038   120.8   
3    76  85.375    0.974714    15.7182   120.8   
3    77  84.9916   0.989552    15.9575   120.8   
3    78  85.7172   0.959924    15.4797   120.8   
3    79  85.6234   0.985889    15.8984   120.8   
3    80  85.4932   0.998487    16.1016   120.8   
3    81  85.4694   0.986099    15.9018   120.8   
3    82  85.7066   0.973503    15.6987   120.8   
3    83  85.334    0.96238     15.5193   120.8   
