7; ./512ED ./ED512/ps2/ 1 0.00382 0.01564 0.02205 0.00214 0.02848 0.02672 0.41832 0.03961 0.44321
Graph Evolution Tool.
Initial Graph: Ring with m = 2
Fitness Function: Epidemic Length
Representation: THADS-N with Operation Densities
Densities: 0.00382 0.01564 0.02205 0.00214 0.02848 0.02672 0.41832 0.03961 0.44321 
Check readme.dat for more information about parameters/output.

Beginning Run 0 of 29
Run  RI  Mean      95% CI      SD        Best    
2    57  158.778   1.92956     31.116    221.6   
2    58  158.414   2.0006      32.2616   221.6   
2    59  159.126   1.97821     31.9007   221.6   
2    60  159.001   1.95964     31.6011   221.6   
2    61  157.84    1.96598     31.7034   221.6   
2    62  157.82    1.97469     31.8439   221.6   
2    63  158.31    1.94917     31.4322   221.6   
2    64  158.223   1.96533     31.693    221.6   
2    65  158.308   1.99156     32.1159   221.6   
2    66  158.77    1.97336     31.8225   221.6   
2    67  159.663   1.9434      31.3393   221.6   
2    68  159.296   1.94862     31.4234   221.6   
2    69  158.757   1.9436      31.3424   221.6   
2    70  159.029   1.95481     31.5232   221.6   
2    71  158.179   1.98714     32.0446   221.6   
2    72  159.227   1.96806     31.737    221.6   
2    73  157.948   2.03872     32.8764   221.6   
2    74  158.788   1.95403     31.5107   221.6   
2    75  158.346   1.97157     31.7935   221.6   
2    76  158.908   1.99015     32.0932   221.6   
2    77  159.719   1.92755     31.0837   221.6   
2    78  158.186   2.03737     32.8546   221.6   
2    79  158.062   2.0466      33.0035   221.6   
2    80  157.07    2.06194     33.2508   221.6   
2    81  158.163   1.97826     31.9015   221.6   
2    82  158.48    2.03045     32.7431   221.6   
2    83  159.121   1.99649     32.1954   221.6   
2    84  158.338   2.01851     32.5504   221.6   
2    85  158.957   2.0378      32.8615   226.2   
2    86  158.822   2.02169     32.6018   226.2   
2    87  160.029   2.01696     32.5255   226.2   
2    88  158.771   2.02827     32.7078   226.2   
2    89  159.601   1.94495     31.3643   226.2   
2    90  158.679   2.05282     33.1038   226.2   
2    91  157.985   2.0983      33.8371   226.2   
2    92  159.675   1.98587     32.0241   226.2   
2    93  159.809   2.01464     32.488    226.2   
2    94  158.969   2.04706     33.0108   226.2   
2    95  159.795   2.06257     33.261    226.2   
2    96  159.426   2.03647     32.8401   226.2   
2    97  158.894   2.05168     33.0854   226.2   
2    98  159.291   2.04768     33.021    226.2   
2    99  158.353   2.05761     33.1811   226.2   
2    100 158.37    2.03746     32.8561   226.2   
Done run 2 of 29

Beginning Run 3 of 29
Run  RI  Mean      95% CI      SD        Best    
3    0   24.5996   0.202434    3.26445   38.8    
3    1   50.079    0.441201    7.1148    79.2    
3    2   81.5416   0.681955    10.9972   130.4   
3    3   112.74    1.14155     18.4086   177.4   
3    4   138.422   1.32039     21.2927   210     
3    5   148.6     1.55245     25.0349   212.2   
3    6   152.884   1.63673     26.3939   212.2   
3    7   154.734   1.72318     27.788    222.6   
3    8   156.033   1.79442     28.9367   222.6   
3    9   156.618   1.81852     29.3254   222.6   
3    10  156.877   1.9002      30.6427   222.6   
3    11  156.933   1.91902     30.9461   222.6   
3    12  158.022   1.85116     29.8518   222.6   
3    13  157.636   1.93641     31.2266   222.6   
3    14  157.979   1.89703     30.5915   222.6   
3    15  158.78    1.88724     30.4336   222.6   
3    16  158.644   1.93007     31.1243   222.6   
3    17  158.533   1.91345     30.8563   222.6   
3    18  159.706   1.97042     31.775    222.6   
3    19  159.428   1.92495     31.0418   222.6   
3    20  159.265   1.94315     31.3352   222.6   
3    21  159.878   1.95549     31.5343   222.6   
3    22  158.417   1.99315     32.1415   222.6   
3    23  159.154   1.98276     31.974    222.6   
3    24  160.599   1.94941     31.4362   223.2   
3    25  161.069   1.97716     31.8837   223.2   
3    26  161.467   1.95606     31.5434   226.8   
3    27  159.111   2.03562     32.8265   226.8   
3    28  159.868   2.00182     32.2813   226.8   
3    29  159.63    2.03307     32.7853   226.8   
3    30  162.145   1.91038     30.8068   226.8   
3    31  160.385   1.99025     32.0947   226.8   
3    32  160.497   1.94284     31.3302   226.8   
3    33  159.668   2.02521     32.6585   226.8   
3    34  161.341   2.005       32.3326   226.8   
3    35  161.261   2.00702     32.3653   226.8   
3    36  160.609   2.01246     32.453    226.8   
3    37  161.445   1.94825     31.4176   226.8   
3    38  160.208   2.08617     33.6415   226.8   
3    39  161.706   2.0018      32.2811   226.8   
3    40  160.058   2.06082     33.2328   226.8   
3    41  160.407   2.05321     33.1101   226.8   
3    42  161.509   2.01138     32.4355   226.8   
3    43  161.219   2.04357     32.9546   226.8   
3    44  161.897   2.00029     32.2566   226.8   
3    45  160.694   2.10546     33.9526   226.8   
3    46  161.912   2.02212     32.6087   226.8   
3    47  161.696   2.00888     32.3951   226.8   
3    48  160.949   2.051       33.0744   226.8   
3    49  161.048   2.07259     33.4225   226.8   
3    50  161.57    2.01783     32.5395   226.8   
3    51  161.186   2.07635     33.4832   226.8   
3    52  161.487   2.06802     33.3489   226.8   
3    53  161.617   2.04194     32.9283   226.8   
3    54  160.858   2.07887     33.5238   226.8   
3    55  160.371   2.10098     33.8804   226.8   
3    56  160.771   2.03863     32.8749   226.8   
3    57  162.5     2.00509     32.334    226.8   
3    58  160.528   2.09543     33.7908   226.8   
3    59  160.941   2.09723     33.8199   226.8   
3    60  161.265   2.06818     33.3514   226.8   
3    61  162.468   2.02569     32.6663   226.8   
3    62  161.584   2.03291     32.7827   226.8   
3    63  161.522   2.0511      33.0761   226.8   
3    64  161.297   2.04912     33.0441   226.8   
3    65  161.555   2.05317     33.1095   226.8   
3    66  161.313   2.06839     33.3549   226.8   
3    67  161.636   2.032       32.768    226.8   
3    68  161.488   2.08105     33.559    226.8   
3    69  162.161   2.04111     32.9149   226.8   
3    70  160.742   2.08698     33.6547   226.8   
3    71  161.107   2.08937     33.6932   226.8   
3    72  161.411   2.04941     33.0488   226.8   
3    73  161.348   2.03324     32.7881   226.8   
3    74  162.162   2.04711     33.0116   226.8   
3    75  160.636   2.09302     33.752    227.6   
3    76  161.15    2.08666     33.6495   227.6   
3    77  162.842   2.01447     32.4854   227.6   
3    78  161.204   2.10173     33.8925   227.6   
3    79  162.691   2.00963     32.4073   227.6   
3    80  161.518   2.07638     33.4837   227.6   
3    81  163.302   2.02281     32.6199   227.6   
3    82  160.792   2.07305     33.43     227.6   
3    83  161.505   2.07524     33.4653   227.6   
3    84  162.334   2.05461     33.1327   227.6   
3    85  161.998   2.04113     32.9152   227.6   
3    86  162.202   2.07015     33.3832   227.6   
